V00MBMSFMLOAD,V00MBMNFMLOAD,V00MBMPFMLOAD
,0.12040893683842065,2.625610982617526e-10
1.5483283501050959e-83,,0.0
0.003876843810428914,0.0,
,1.065790007604763e-09,4.722701755096761e-15
,0.22718580400868343,1.0563520009419965e-08
,,8.064443952400161e-62
,,1.9419139972324255e-30
,,1.5724229986818618e-60
,0.516757627315172,
,0.2550389636365437,
,3.5339862937441796e-09,
0.0028671939231935638,,1.5934990105260725e-204
3.527908555662755e-05,,1.942271859536269e-26
1.9039351746297445e-09,,
3.697834037952857e-10,,
0.010323649558207264,,
2.4740561707746064e-09,2.6298914685326812e-15,
1.955914027244317e-07,3.401283855534041e-27,
